,CaseOrder,Customer_id,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Multiple,OnlineSecurity,TechSupport,StreamingTV,Tenure,MonthlyCharge,Bandwidth_GB_Year
0,1,K409198,38,0,68,28561.99,7.978322947,10,0,1,0,0,1,0,0,6.795512947,172.455519,904.5361102
1,2,S120509,10446,1,27,21704.77,11.69907956,12,0,1,1,1,1,0,1,1.156680997,242.632554,800.9827661
2,3,K191035,3735,4,50,9609.57,10.75280028,9,0,1,1,1,0,0,0,15.75414408,159.947583,2054.706961
3,4,D90850,13863,1,48,18925.23,14.91353964,15,2,0,1,0,1,0,1,17.08722662,119.95684,2164.579412
4,5,K662701,11352,0,83,40074.19,8.147416533,16,2,1,0,0,0,1,1,1.670971726,149.948316,271.4934362
5,6,W303516,17701,3,83,22660.2,8.420992898,15,3,1,0,1,1,0,0,7.000993555,185.007692,1039.357983
6,7,U335188,2535,0,79,11467.5,11.18272453,10,0,1,1,0,0,1,1,13.23677381,200.118516,1907.242972
7,8,V538685,23144,2,30,26759.64,7.791632265,16,0,0,1,0,0,0,0,4.26425515,114.950905,979.6127078
9,10,I676080,20193,1,86,50231.4,8.707823904,18,1,0,0,0,1,0,0,3.422086139,162.482694,508.7637913
10,11,J980369,555,7,23,22580.7,9.341631685,9,0,2,0,1,1,0,1,19.26726194,174.958118,2728.767869
11,12,E243720,33372,2,56,18342.12,6.68082638,17,1,1,0,0,0,0,1,10.52199781,149.962093,1180.588788
12,13,F139569,556,0,83,83671.08,8.273875452,9,0,0,0,0,0,0,1,13.01149229,137.439154,1196.388018
14,15,H68068,8165,1,30,64256.81,11.79073041,10,3,0,0,1,0,1,0,10.06019902,159.965581,1582.295235
15,16,A403906,2093,3,39,89061.45,10.79846973,13,1,0,0,0,1,0,1,13.87001293,177.65076,1840.014467
16,17,V847470,50079,0,63,31659.3,13.52284721,13,1,0,0,1,0,0,0,15.78214958,194.966286,2070.376729
17,18,F721878,7249,2,60,44142.81,9.831166695,16,3,0,0,0,1,1,1,2.303331273,202.682861,882.0985933
18,19,F487435,9463,3,61,39262.14,9.57470568,11,1,0,1,0,0,1,1,17.10995632,152.490739,1833.0967
19,20,B561228,3177,3,23,19494.75,10.92246098,10,1,0,0,1,0,0,1,12.80615845,149.944668,1954.080809
21,22,I282896,14440,3,30,45714.47,6.984819996,18,1,0,0,0,1,0,0,2.415991977,127.495766,594.1054279
22,23,I367206,381,3,52,27442.03,9.372975594,16,1,1,0,0,0,1,0,6.652298992,124.964303,713.0633088
23,24,N37182,2193,2,68,79699.62,7.109002592,9,0,0,0,0,0,1,1,8.543717478,149.948316,945.3802928
24,25,U644626,9434,3,75,28520.32,13.74777955,15,1,0,0,1,1,0,0,5.770390256,162.511928,870.76398
25,26,A766555,29568,1,77,12558.83,9.767668044,12,1,0,0,0,0,0,0,4.157658837,92.455141,774.2937069
26,27,V54032,3089,1,47,8762.23,15.8626095,15,0,1,0,0,1,0,1,10.40566091,222.649979,1506.446527
