,Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Multiple,OnlineSecurity,TechSupport,StreamingTV,MonthlyCharge,Bandwidth_GB_Year
0,38,0,68,28561.99,0,7.978322947,10,0,1,0,0,1,0,0,172.455519,904.5361102
1,10446,1,27,21704.77,1,11.69907956,12,0,1,1,1,1,0,1,242.632554,800.9827661
2,3735,4,50,9609.57,0,10.75280028,9,0,1,1,1,0,0,0,159.947583,2054.706961
3,13863,1,48,18925.23,0,14.91353964,15,2,0,1,0,1,0,1,119.95684,2164.579412
4,11352,0,83,40074.19,1,8.147416533,16,2,1,0,0,0,1,1,149.948316,271.4934362
5,17701,3,83,22660.2,0,8.420992898,15,3,1,0,1,1,0,0,185.007692,1039.357983
6,2535,0,79,11467.5,1,11.18272453,10,0,1,1,0,0,1,1,200.118516,1907.242972
7,23144,2,30,26759.64,1,7.791632265,16,0,0,1,0,0,0,0,114.950905,979.6127078
9,20193,1,86,50231.4,0,8.707823904,18,1,0,0,0,1,0,0,162.482694,508.7637913
10,555,7,23,22580.7,0,9.341631685,9,0,2,0,1,1,0,1,174.958118,2728.767869
11,33372,2,56,18342.12,0,6.68082638,17,1,1,0,0,0,0,1,149.962093,1180.588788
12,556,0,83,83671.08,0,8.273875452,9,0,0,0,0,0,0,1,137.439154,1196.388018
14,8165,1,30,64256.81,1,11.79073041,10,3,0,0,1,0,1,0,159.965581,1582.295235
15,2093,3,39,89061.45,1,10.79846973,13,1,0,0,0,1,0,1,177.65076,1840.014467
16,50079,0,63,31659.3,1,13.52284721,13,1,0,0,1,0,0,0,194.966286,2070.376729
17,7249,2,60,44142.81,1,9.831166695,16,3,0,0,0,1,1,1,202.682861,882.0985933
18,9463,3,61,39262.14,0,9.57470568,11,1,0,1,0,0,1,1,152.490739,1833.0967
19,3177,3,23,19494.75,1,10.92246098,10,1,0,0,1,0,0,1,149.944668,1954.080809
21,14440,3,30,45714.47,0,6.984819996,18,1,0,0,0,1,0,0,127.495766,594.1054279
22,381,3,52,27442.03,0,9.372975594,16,1,1,0,0,0,1,0,124.964303,713.0633088
23,2193,2,68,79699.62,0,7.109002592,9,0,0,0,0,0,1,1,149.948316,945.3802928
