,Tenure
4699,16.37611
9056,55.7768
67,10.79028074
1142,13.98469679
9938,58.10724
4931,6.422331
4979,8.618298
7016,43.92326
5595,41.58309
8443,55.89461
6105,56.95876
8130,71.44783
1467,2.698284625
5722,51.48861
6495,70.44254
1080,19.58895462
5876,61.00152
7479,69.02789
799,28.86969715
2236,4.970731
2875,16.71459
1701,4.759938908
9637,51.84838
5587,60.34933
5989,64.19903
1235,11.96148946
2826,10.93329
1169,3.816472249
4308,2.141515
8896,64.25764
3186,1.453865
6917,58.45536
754,6.343374736
6347,67.95345
9423,62.08608
6798,54.47785
7790,65.61344
9500,70.41272
676,9.75910234
1851,1.358818331
2042,11.71454
8732,60.98321
7498,56.56448
5450,65.83332
5272,60.83121
5807,51.22671
4873,17.8565
7474,64.50684
7212,65.80077
7807,67.61562
1256,2.439520256
2750,6.780515
773,3.990895779
9480,66.47483
1038,2.606228436
202,12.39088509
6621,58.52409
2220,3.089663
1093,17.41856593
4664,2.284566
8186,55.09556
492,6.935335786
2319,6.137692
1182,9.045537332
7362,68.80222
6635,70.36489
6694,59.41977
9737,63.56661
7052,69.87869
9647,66.50879
1284,4.837990763
2391,1.854011
5547,51.32084
3913,4.86918
2599,20.58561
6061,61.63974
9957,71.71958
2642,15.81095
2473,2.446064
6932,62.83882
7867,59.27052
5541,52.41441
5354,54.60704
9236,68.44883
6453,68.17558
8695,50.77278
7484,70.1758
8475,71.80608
4005,14.16299
5857,68.14379
2454,2.930277
8409,45.96907
8314,60.70855
7459,62.52627
2364,2.734057
8079,71.51635
7466,64.15093
9512,68.20701
8674,51.39701
4445,1.210715
9029,57.07243
6051,62.09662
8880,71.96235
6344,57.57488
4228,19.39623
9534,58.20259
9291,68.79305
9097,64.74166
8001,51.67996
2126,8.275832
6599,69.4907
8635,59.59893
5740,60.32779
8530,66.85966
4160,2.735806
4708,9.875391
7211,71.39672
7481,67.26256
8992,54.28874
5611,49.7446
8650,57.51975
7309,64.29382
4675,14.28503
3270,8.692007
6520,42.83737
4572,4.899337
4938,11.7516
3286,22.25056
1914,2.811977672
1202,13.3451101
7735,56.77763
6956,40.35276
643,1.042140757
724,9.758067608
5252,67.75237
1911,6.775594861
3740,16.55879
6124,55.76068
251,14.23487852
2428,15.07394
8107,59.0652
2168,17.13556
4111,15.82734
1446,9.605264775
2834,12.29962
4658,13.69077
5726,70.49565
4897,17.55118
860,5.028564472
6573,47.67299
1674,9.373705128
7174,61.72511
2703,13.50244
9541,52.78581
5186,44.25204
3734,10.07156
9491,42.74753
1338,2.978504665
9061,56.50636
2880,2.984004
1077,8.853636698
8628,59.33067
218,21.29342532
1296,11.08150154
7216,51.08527
5445,53.77634
6359,67.4011
9704,67.75508
6223,57.87341
1325,4.44463064
4775,3.309503
1350,10.55505829
5456,69.51253
4601,8.093081
5883,65.54969
2265,10.77918
9892,66.82584
9818,61.30199
1935,10.19944078
8452,68.41538
8039,60.49719
5930,58.25985
5572,64.48138
3632,17.39814
5812,50.98192
5845,59.21586
2429,20.5514
6929,66.39976
3622,15.37783
8839,60.93346
4829,6.42531
8901,47.40118
59,7.233605493
2817,4.848049
8681,57.35881
6970,58.04214
5658,60.76709
7780,70.54929
3630,7.567398
728,11.70347852
1538,8.447638937
3781,5.306649
8069,71.09348
1698,11.57257501
7761,51.05765
4247,2.011058
5322,44.64514
2475,14.80349
4370,4.030411
7156,71.35208
7802,55.505
6391,63.28097
1799,9.273178876
3600,16.05802
5384,55.75053
6530,58.12363
3870,4.180338
3003,5.944147
4918,10.15306
6277,69.50311
5238,67.60865
5495,63.42204
4761,5.73926
6876,58.19535
8576,41.09672
7037,43.15974
390,3.045064701
9608,42.22849
7004,70.24121
1347,3.135848347
6832,57.22067
9498,59.54373
5346,67.97593
2657,6.7064
8245,45.93241
9859,58.61361
1960,2.867284438
1158,19.16163631
2180,1.900671
8882,55.42799
1768,15.12166154
9872,58.8745
5055,69.87041
6514,39.65071
9521,71.23043
5596,47.99239
236,25.8634566
6270,59.55192
7060,68.21625
269,2.411712843
4725,12.79286
6030,69.02601
7446,41.4761
6119,57.54902
9940,50.14317
9009,68.99606
7026,52.75131
9260,58.20411
4872,8.686291
2710,4.243723
5282,51.57289
2018,1.954899
5280,63.93531
6004,70.56628
5262,69.49734
2284,18.13802
8987,65.03219
6188,58.79896
1731,9.727109482
8501,49.22149
499,16.92163398
8636,53.49096
1889,13.56958731
4069,4.736816
834,6.28842083
4578,4.439464
6121,53.66326
6214,54.03406
6593,71.60143
5071,64.15566
7482,65.02015
3925,10.86326
3006,13.46637
1837,5.252073829
2841,11.47008
4837,6.913925
1422,2.354138635
507,13.04542381
2164,7.890163
8967,69.58993
8222,55.44991
5053,71.53343
7178,57.62165
9016,62.86571
1384,1.67735795
7766,50.27485
1270,4.61174735
8241,55.29606
2367,9.38329
3349,15.45104
7538,65.39301
4199,4.61822
1859,20.40555252
4718,2.246214
1564,2.916144419
1559,8.249941923
961,4.945014197
4145,4.154665
6790,69.14141
3618,1.216309
6282,44.61375
7679,40.24973
6856,58.22037
6536,54.78319
3981,8.475773
3835,10.86482
2978,8.509962
2408,19.14395
4796,7.295203
7993,71.805
1747,6.403155881
1060,4.764739683
4666,4.946157
8244,70.89738
6984,66.76266
8763,38.29305
2075,8.084289
6255,57.04917
1214,12.40889924
6697,40.731
1928,20.00794461
2740,8.257765
9028,42.59461
8096,70.28113
5283,65.36022
3019,5.867453
6851,51.41461
4886,6.739064
4993,19.01406
6183,70.67111
455,4.991605214
1312,1.355493769
5606,57.27044
2615,1.275948
1145,8.417226873
4819,3.876069
5834,65.3851
352,10.9750814
5126,67.76579
9538,56.29659
3049,17.29281
2002,13.29584
1184,5.958420709
3554,6.933201
8972,63.22009
5389,55.50904
2596,10.02603
612,10.03212915
567,5.511437756
7579,60.53095
9361,70.17477
8741,62.4542
9478,60.09935
5810,59.6057
8298,67.35636
3063,2.437932
8851,58.51928
779,8.908332009
5677,70.41492
7843,65.9436
3056,6.515297
297,5.548652108
6189,62.58644
8428,47.52483
123,8.156552837
3861,2.017622
2299,7.409149
2115,8.944195
9087,58.18133
8528,56.75264
3103,3.267702
4682,7.820202
7273,61.39024
928,5.425068599
4726,12.2982
5913,71.11315
9915,45.33085
3055,6.967998
3713,4.548296
1807,6.577676916
3546,5.14486
8621,64.25691
6772,55.5206
6564,53.83688
453,9.16272705
8963,53.13455
6714,60.19517
2765,6.246939
501,2.81822785
8786,51.2129
4090,3.211508
9092,62.83227
7894,52.21545
1563,23.27091932
4678,5.429608
3245,16.23853
9824,51.9989
5148,58.89846
4532,10.65198
9748,70.35289
654,2.451160296
2451,5.886238
2016,3.151239
9764,46.23966
7848,66.81622
3768,11.70988
7306,48.39095
9278,63.90696
2866,9.938487
2400,4.235635
8569,65.36252
7589,58.2249
2609,13.75426
902,15.806584
172,19.48900163
9559,56.10936
3634,2.871903
4267,7.218929
7045,63.25058
4209,1.070145
2795,1.059865
5469,61.3125
4849,4.096547
3776,12.50785
7468,50.11484
2679,7.495281
6117,49.04885
9202,52.78111
3947,13.25185
3212,1.832601
2287,5.596602
8006,61.35472
360,6.10108047
9616,51.4383
8861,58.0434
7738,51.11345
4127,4.245048
9722,61.12409
7440,58.79677
7199,49.74162
2017,16.81532
9496,43.01015
273,11.77389421
7487,65.37201
4116,11.73089
5870,39.5421
2639,17.45182
828,7.48578642
1716,10.16298067
2295,14.7857
108,14.76468813
8639,52.27228
2528,5.585807
6324,68.46135
9795,46.05744
8040,67.86978
8407,54.8376
4467,2.426747
2562,18.81683
4729,5.364231
2985,17.25514
2117,5.003409
8352,52.53037
2481,7.42363
6165,61.53705
5962,69.8304
