,Zip Code,Age,Gender,Churn,Contract,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Month
0,93225,37,Female,No,One Year,Yes,9,65.6,16.0
3,94553,78,Male,Yes,Month-to-Month,Yes,13,98.0,4.0
4,93010,75,Female,Yes,Month-to-Month,Yes,3,83.9,11.0
6,93437,67,Female,No,Two Year,Yes,71,109.7,14.0
7,94558,52,Male,No,Two Year,Yes,63,84.65,7.0
8,93063,68,Female,No,Two Year,Yes,7,48.2,21.0
9,95681,43,Female,No,Two Year,Yes,65,90.45,14.0
10,92091,47,Male,No,Two Year,No,54,45.2,10.0
12,95843,58,Female,No,Month-to-Month,Yes,5,68.95,10.0
13,91942,32,Female,No,Two Year,Yes,72,101.3,16.0
14,93441,39,Female,No,Two Year,No,56,45.05,19.0
15,93286,58,Female,No,Two Year,Yes,71,95.75,12.0
16,94956,52,Female,No,One Year,No,34,61.25,20.0
17,92078,72,Female,No,One Year,Yes,1,72.1,22.0
18,94015,79,Male,Yes,One Year,No,45,62.7,17.0
19,95037,67,Male,Yes,Month-to-Month,Yes,1,25.1,9.0
20,93601,79,Female,No,One Year,No,50,25.2,21.0
23,93530,22,Female,No,Month-to-Month,No,3,19.85,21.0
24,95550,34,Female,Yes,Month-to-Month,No,4,20.35,21.0
25,92060,37,Female,Yes,Month-to-Month,No,1,30.5,19.0
27,95358,42,Male,No,Two Year,No,54,20.4,21.0
28,95442,64,Male,No,One Year,Yes,26,19.6,21.0
29,95503,47,Female,No,Two Year,No,69,19.7,21.0
31,90058,48,Female,No,One Year,No,49,20.45,21.0
33,92231,28,Female,No,One Year,No,67,20.55,21.0
34,96003,33,Male,No,Two Year,Yes,20,39.4,22.0
35,95046,31,Female,No,Two Year,Yes,43,25.1,21.0
36,95209,37,Female,No,Month-to-Month,Yes,55,89.8,9.0
37,90003,60,Female,No,Month-to-Month,Yes,59,94.75,14.0
38,90255,48,Female,No,Two Year,No,12,20.3,21.0
39,92398,60,Male,No,Month-to-Month,Yes,27,75.75,23.0
40,92129,69,Male,Yes,Month-to-Month,Yes,2,49.25,27.0
42,95405,31,Male,No,Two Year,No,25,25.5,21.0
43,95126,46,Male,No,One Year,Yes,25,61.6,19.0
44,91042,57,Male,No,Month-to-Month,Yes,29,45.0,21.0
46,95240,64,Female,No,One Year,No,14,51.45,12.0
47,95318,38,Female,No,One Year,Yes,35,99.25,2.0
48,94515,54,Male,No,Month-to-Month,Yes,1,44.3,9.0
49,95230,50,Male,No,Month-to-Month,Yes,29,94.2,17.0
52,93023,72,Female,No,Two Year,Yes,40,91.55,23.0
53,92241,51,Male,Yes,Month-to-Month,Yes,40,104.5,15.0
56,95404,58,Male,No,Month-to-Month,Yes,30,64.5,15.0
57,95131,26,Male,No,Month-to-Month,Yes,27,19.4,21.0
60,92113,61,Male,No,One Year,No,58,50.3,18.0
62,95452,55,Female,No,Two Year,Yes,69,116.0,27.0
63,95255,32,Male,Yes,Month-to-Month,Yes,1,19.85,21.0
64,90062,59,Male,Yes,Month-to-Month,Yes,1,99.75,25.0
65,92256,71,Male,No,One Year,Yes,32,93.95,23.0
66,92266,49,Male,No,Month-to-Month,Yes,16,90.8,12.0
67,93563,61,Male,Yes,One Year,No,49,84.35,10.0
69,96084,39,Female,No,Month-to-Month,No,33,107.55,12.0
70,95548,21,Female,No,Month-to-Month,Yes,10,19.95,21.0
72,94508,52,Male,Yes,Month-to-Month,No,37,40.2,23.0
73,95333,71,Female,No,Month-to-Month,Yes,26,85.8,7.0
74,95560,45,Male,No,One Year,Yes,50,35.4,7.0
75,92122,29,Female,Yes,Month-to-Month,Yes,7,73.85,26.0
77,95305,42,Male,Yes,Month-to-Month,Yes,15,101.35,12.0
78,91381,51,Female,No,Month-to-Month,No,26,45.8,19.0
79,95660,39,Male,No,Month-to-Month,Yes,72,94.65,23.0
80,91746,64,Male,No,One Year,Yes,44,20.5,21.0
81,95443,55,Male,No,Month-to-Month,No,66,89.4,8.0
82,91803,40,Female,Yes,Month-to-Month,Yes,2,86.25,16.0
83,90403,76,Female,No,One Year,No,44,74.85,17.0
84,95240,57,Female,Yes,Month-to-Month,Yes,12,89.75,6.0
85,90001,71,Male,No,Two Year,Yes,69,109.95,17.0
87,95204,24,Female,Yes,Month-to-Month,No,3,19.85,21.0
89,92028,77,Female,No,Two Year,Yes,27,86.45,4.0
90,93554,57,Male,No,Month-to-Month,Yes,26,20.3,21.0
91,93422,73,Female,No,Month-to-Month,Yes,39,101.25,21.0
92,95365,41,Male,Yes,Month-to-Month,Yes,25,94.7,8.0
93,93021,43,Female,Yes,Month-to-Month,No,1,70.9,23.0
94,93463,48,Male,Yes,Month-to-Month,Yes,22,54.2,21.0
95,94515,56,Female,No,Two Year,Yes,72,114.9,5.0
96,90638,51,Female,No,Two Year,Yes,24,19.55,21.0
