,Age,Gender,Churn,Contract,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Month
0,68,Male,No,One year,Yes,7,172.5,75.0
1,27,Female,Yes,Month-to-Month,Yes,1,242.6,67.0
2,50,Female,No,Two Year,Yes,16,159.9,171.0
3,48,Male,No,Two Year,Yes,17,120.0,180.0
4,83,Male,Yes,Month-to-Month,No,2,149.9,23.0
5,83,Female,No,One year,No,7,185.0,87.0
6,79,Male,Yes,Month-to-Month,No,13,200.1,159.0
7,30,Female,Yes,Month-to-Month,Yes,4,115.0,82.0
9,86,Female,No,Two Year,Yes,3,162.5,42.0
10,23,Female,No,Month-to-Month,No,19,175.0,227.0
11,56,Female,No,Month-to-Month,No,11,150.0,98.0
12,83,Male,No,Month-to-Month,No,13,137.4,100.0
13,29,Female,No,Two Year,Yes,17,185.0,162.0
14,30,Male,Yes,Month-to-Month,Yes,10,160.0,132.0
15,39,Male,Yes,One year,Yes,14,177.7,153.0
16,63,Female,Yes,Month-to-Month,Yes,16,195.0,173.0
17,60,Male,Yes,Two Year,No,2,202.7,74.0
18,61,Female,No,Two Year,Yes,17,152.5,153.0
19,23,Male,Yes,Month-to-Month,Yes,13,149.9,163.0
20,38,Male,No,Month-to-Month,Yes,20,185.0,194.0
21,30,Male,No,Two Year,No,2,127.5,50.0
22,52,Male,No,Month-to-Month,Yes,7,125.0,59.0
23,68,Male,No,One year,Yes,9,149.9,79.0
24,75,Female,Yes,Month-to-Month,No,6,162.5,73.0
25,77,Male,Yes,Month-to-Month,No,4,92.5,65.0
26,47,Female,Yes,Month-to-Month,No,10,222.6,126.0
27,70,Female,Yes,Month-to-Month,Yes,1,140.0,35.0
28,20,Female,Yes,One year,No,1,200.1,105.0
29,69,Male,Yes,Two Year,Yes,5,257.7,145.0
30,45,Male,No,Two Year,Yes,11,230.1,150.0
31,40,Female,No,Two Year,No,4,147.5,41.0
32,82,Female,Yes,Month-to-Month,Yes,5,230.1,84.0
33,74,Male,Yes,Month-to-Month,No,21,175.0,223.0
34,69,Male,Yes,One year,No,3,267.7,90.0
35,52,Male,Yes,Month-to-Month,Yes,5,162.5,101.0
36,26,Female,Yes,Month-to-Month,Yes,3,230.0,75.0
37,25,Female,No,One year,Yes,7,140.0,112.0
38,66,Female,No,Two Year,No,10,185.0,93.0
39,72,Male,No,Two Year,No,16,147.5,128.0
40,21,Female,No,Month-to-Month,Yes,9,172.5,109.0
41,55,Male,No,Month-to-Month,Yes,3,107.5,74.0
42,41,Male,Yes,Two Year,No,4,255.1,94.0
43,32,Male,No,Two Year,Yes,19,192.5,168.0
44,22,Female,Yes,Two Year,Yes,9,242.6,118.0
45,44,Female,Yes,Month-to-Month,Yes,10,245.2,143.0
46,23,Male,Yes,Month-to-Month,Yes,22,185.0,199.0
47,43,Female,Yes,Month-to-Month,Yes,9,195.0,101.0
48,86,Female,No,Two Year,No,8,105.0,62.0
49,84,Female,No,Month-to-Month,Yes,12,92.5,75.0
50,62,Female,Yes,Month-to-Month,No,3,185.0,86.0
51,68,Female,Yes,Month-to-Month,Yes,7,187.7,103.0
52,59,Female,No,Month-to-Month,Yes,5,150.0,61.0
53,31,Female,Yes,One year,Yes,2,169.9,38.0
54,51,Male,Yes,Month-to-Month,Yes,12,160.0,108.0
55,58,Female,No,One year,No,14,130.0,153.0
56,73,Male,Yes,Month-to-Month,Yes,10,115.0,110.0
57,33,Female,No,Two Year,Yes,7,142.5,80.0
58,58,Male,Yes,Two Year,Yes,16,220.1,156.0
59,49,Female,No,Two Year,Yes,7,125.0,56.0
60,26,Female,No,One year,Yes,3,165.0,91.0
61,25,Male,No,Month-to-Month,No,2,195.0,59.0
62,42,Female,Yes,Month-to-Month,Yes,8,152.5,118.0
63,81,Male,No,Month-to-Month,No,12,92.5,91.0
64,43,Female,No,Month-to-Month,Yes,10,127.5,90.0
65,63,Male,No,Two Year,No,8,185.0,131.0
66,70,Female,Yes,Month-to-Month,Yes,4,265.1,84.0
67,78,Male,Yes,Month-to-Month,No,11,207.6,110.0
68,48,Male,No,Month-to-Month,No,12,152.5,151.0
69,63,Female,Yes,Month-to-Month,Yes,2,200.1,93.0
70,60,Female,Yes,One year,No,24,212.7,223.0
71,87,Male,Yes,One year,Yes,4,255.1,106.0
72,54,Female,No,Two Year,Yes,8,135.0,69.0
73,35,Male,Yes,Month-to-Month,Yes,9,255.1,131.0
74,70,Male,Yes,Month-to-Month,No,2,215.0,54.0
75,67,Female,Yes,One year,Yes,5,270.2,137.0
76,46,Female,Yes,Two Year,Yes,1,200.2,64.0
77,50,Male,No,Two Year,No,20,149.9,202.0
78,24,Female,Yes,Month-to-Month,Yes,25,240.1,222.0
79,20,Male,No,Month-to-Month,Yes,10,127.5,94.0
80,29,Female,Yes,One year,No,10,187.6,148.0
81,31,Male,No,Month-to-Month,No,8,170.0,79.0
82,72,Female,No,Two Year,No,19,192.5,159.0
83,71,Male,No,Month-to-Month,Yes,14,120.0,157.0
84,32,Female,No,One year,No,2,195.0,53.0
85,33,Male,No,One year,Yes,2,140.0,47.0
86,67,Male,No,Month-to-Month,Yes,5,115.0,49.0
87,66,Female,Yes,Month-to-Month,No,4,207.6,65.0
88,21,Female,Yes,Month-to-Month,Yes,4,187.6,116.0
89,61,Female,No,One year,Yes,4,135.0,33.0
90,75,Female,Yes,Month-to-Month,Yes,2,192.5,34.0
91,63,Female,Yes,Month-to-Month,Yes,14,222.6,178.0
92,68,Female,No,Two Year,Yes,3,162.5,37.0
93,32,Male,Yes,Two Year,No,20,160.0,207.0
94,76,Male,No,Two Year,Yes,18,185.0,186.0
95,29,Female,Yes,Month-to-Month,Yes,5,245.1,97.0
96,83,Female,No,Month-to-Month,No,7,125.0,44.0
97,23,Male,Yes,Month-to-Month,No,13,187.5,163.0
98,80,Male,No,Month-to-Month,Yes,20,162.5,171.0
99,20,Male,No,One year,Yes,7,182.5,89.0
100,69,Male,Yes,Month-to-Month,Yes,14,222.7,151.0
101,32,Male,No,One year,Yes,11,182.5,116.0
102,53,Female,Yes,Month-to-Month,Yes,3,220.2,67.0
103,25,Male,No,Two Year,Yes,17,169.9,157.0
104,69,Male,Yes,Month-to-Month,Yes,23,205.0,191.0
105,71,Male,Yes,Month-to-Month,No,4,205.0,69.0
106,53,Female,Yes,Month-to-Month,No,11,245.1,173.0
108,42,Male,Yes,Month-to-Month,No,15,172.5,164.0
109,33,Male,Yes,Month-to-Month,Yes,9,195.0,110.0
110,47,Male,No,Month-to-Month,Yes,5,137.4,59.0
111,48,Female,Yes,Two Year,Yes,7,192.5,74.0
112,63,Female,Yes,Month-to-Month,No,3,160.0,31.0
113,40,Male,No,Month-to-Month,Yes,18,112.5,134.0
114,67,Male,Yes,Month-to-Month,Yes,13,175.0,119.0
115,56,Female,No,Month-to-Month,No,23,162.5,188.0
116,24,Female,No,One year,Yes,6,137.5,113.0
117,79,Female,No,Two Year,Yes,13,275.1,142.0
118,61,Male,Yes,Month-to-Month,No,7,127.4,108.0
119,38,Male,Yes,Two Year,No,9,210.1,117.0
120,28,Female,No,Two Year,Yes,22,147.5,217.0
121,44,Male,Yes,One year,Yes,5,242.7,105.0
122,65,Male,No,Month-to-Month,Yes,10,115.0,82.0
123,35,Female,No,Month-to-Month,Yes,8,187.7,112.0
124,31,Female,No,Two Year,No,8,150.0,94.0
125,34,Male,No,Two Year,No,7,125.0,106.0
126,68,Male,Yes,Month-to-Month,Yes,5,220.2,87.0
127,62,Male,No,Two Year,No,10,172.5,128.0
128,52,Male,No,Two Year,No,4,120.0,83.0
129,32,Male,Yes,Month-to-Month,Yes,5,220.2,104.0
130,47,Female,Yes,Month-to-Month,Yes,6,140.0,97.0
131,66,Female,No,Month-to-Month,Yes,3,160.0,48.0
132,70,Female,Yes,Month-to-Month,No,9,184.9,120.0
133,41,Male,Yes,Month-to-Month,Yes,10,252.6,131.0
134,59,Male,No,Month-to-Month,Yes,9,112.5,74.0
135,46,Male,No,Two Year,Yes,8,180.0,89.0
136,70,Male,No,One year,Yes,6,202.4,79.0
137,89,Male,No,One year,Yes,7,197.5,117.0
138,75,Female,Yes,One year,Yes,15,255.2,160.0
139,26,Female,Yes,Month-to-Month,No,12,175.0,150.0
140,25,Female,No,Two Year,Yes,4,170.0,58.0
141,84,Female,Yes,Month-to-Month,Yes,3,192.4,43.0
142,69,Male,No,Month-to-Month,No,3,182.5,60.0
143,31,Male,No,One year,No,5,140.0,109.0
144,76,Male,Yes,Month-to-Month,Yes,3,137.5,68.0
145,75,Male,Yes,Month-to-Month,No,3,217.5,74.0
147,49,Male,No,Two Year,Yes,16,105.0,152.0
148,47,Male,Yes,Month-to-Month,No,12,262.6,139.0
149,20,Female,Yes,Month-to-Month,No,7,152.5,94.0
150,26,Female,Yes,One year,No,6,175.0,110.0
151,72,Female,No,One year,Yes,15,220.1,136.0
152,41,Male,No,Month-to-Month,No,6,162.5,79.0
153,26,Female,Yes,Month-to-Month,Yes,3,185.0,104.0
154,55,Male,No,One year,Yes,19,217.5,185.0
155,46,Female,No,Two Year,No,14,220.1,139.0
156,87,Female,Yes,One year,Yes,8,187.6,83.0
157,39,Male,No,Two Year,Yes,6,175.0,81.0
158,81,Male,Yes,Two Year,Yes,20,252.6,183.0
159,83,Male,No,One year,No,15,130.0,120.0
160,50,Female,Yes,Month-to-Month,No,3,162.5,44.0
161,87,Female,Yes,Month-to-Month,Yes,12,182.5,108.0
162,76,Female,No,Two Year,Yes,6,139.9,100.0
163,25,Female,Yes,Two Year,No,11,200.2,142.0
164,34,Male,Yes,Two Year,No,16,202.7,177.0
165,46,Female,No,Two Year,No,13,160.0,103.0
166,73,Female,No,Month-to-Month,Yes,8,149.9,71.0
167,57,Female,Yes,Month-to-Month,Yes,8,150.0,93.0
168,58,Male,No,Two Year,No,12,137.5,135.0
169,70,Male,Yes,One year,Yes,10,187.7,123.0
170,53,Male,Yes,Month-to-Month,No,16,165.0,179.0
171,31,Male,Yes,Month-to-Month,No,14,160.0,127.0
172,38,Female,No,One year,Yes,19,172.5,165.0
173,26,Female,Yes,Two Year,No,10,204.9,105.0
174,44,Male,No,One year,No,7,147.5,78.0
175,66,Female,Yes,Month-to-Month,No,13,162.5,113.0
176,58,Male,No,Two Year,No,9,120.0,121.0
177,51,Female,Yes,One year,No,4,207.6,78.0
178,34,Female,No,One year,Yes,3,195.0,69.0
180,67,Female,Yes,Month-to-Month,No,16,240.1,148.0
182,23,Male,No,One year,Yes,17,140.0,199.0
183,42,Male,Yes,Month-to-Month,Yes,13,240.1,139.0
184,24,Female,Yes,Two Year,Yes,5,210.0,119.0
185,81,Female,No,Two Year,No,4,147.5,69.0
186,78,Male,No,Month-to-Month,Yes,8,107.5,122.0
187,51,Female,Yes,Month-to-Month,Yes,2,152.5,49.0
188,70,Female,No,One year,No,6,80.0,35.0
189,87,Female,No,Two Year,Yes,7,142.5,98.0
190,46,Female,No,One year,Yes,1,117.4,61.0
191,56,Female,Yes,Month-to-Month,Yes,12,220.1,143.0
192,44,Male,Yes,Two Year,Yes,3,152.5,100.0
193,33,Female,No,Month-to-Month,No,10,175.0,105.0
194,19,Female,Yes,Month-to-Month,Yes,4,202.4,62.0
195,31,Male,Yes,Two Year,No,3,210.1,78.0
196,34,Female,No,One year,No,16,140.0,142.0
197,43,Male,No,Two Year,No,6,140.0,114.0
198,82,Male,No,Month-to-Month,Yes,4,137.4,39.0
199,36,Female,No,Month-to-Month,No,3,102.5,47.0
200,48,Male,Yes,Month-to-Month,Yes,1,252.6,68.0
201,52,Male,Yes,Month-to-Month,Yes,19,195.0,167.0
203,83,Female,No,Month-to-Month,No,14,127.5,119.0
204,20,Male,No,Two Year,Yes,4,130.0,69.0
205,25,Female,Yes,One year,No,18,240.1,172.0
206,88,Male,No,Month-to-Month,Yes,3,175.0,51.0
207,54,Female,No,One year,No,6,169.9,63.0
208,46,Male,Yes,Month-to-Month,No,5,162.5,75.0
209,75,Female,No,Month-to-Month,Yes,12,120.0,137.0
210,66,Male,No,Month-to-Month,No,5,137.4,59.0
211,51,Female,No,Two Year,No,8,207.5,91.0
212,81,Female,No,One year,Yes,1,150.0,63.0
213,75,Male,No,Month-to-Month,Yes,20,225.2,192.0
214,54,Female,Yes,Month-to-Month,Yes,16,232.6,200.0
215,73,Male,No,Month-to-Month,No,16,117.5,128.0
216,53,Male,No,Month-to-Month,Yes,12,137.5,128.0
217,33,Female,No,Month-to-Month,No,16,220.1,179.0
218,41,Female,No,Two Year,No,21,125.0,201.0
219,59,Female,No,One year,No,5,200.0,112.0
220,23,Female,Yes,Month-to-Month,No,3,159.9,87.0
221,32,Female,Yes,One year,No,5,245.1,100.0
222,51,Female,Yes,Month-to-Month,No,10,255.2,135.0
223,46,Female,No,Two Year,No,3,135.0,29.0
224,37,Male,Yes,Month-to-Month,No,7,159.9,119.0
225,53,Male,No,Month-to-Month,Yes,10,140.0,121.0
226,62,Male,Yes,Month-to-Month,No,6,179.9,66.0
227,57,Female,No,Month-to-Month,Yes,9,127.5,111.0
228,80,Female,Yes,One year,No,5,232.6,117.0
229,43,Male,Yes,Month-to-Month,Yes,12,195.0,121.0
230,35,Male,Yes,Month-to-Month,Yes,5,267.6,139.0
231,63,Female,No,Two Year,No,18,150.0,142.0
232,63,Female,Yes,Two Year,Yes,15,220.1,182.0
233,27,Female,No,Month-to-Month,No,16,157.5,131.0
234,19,Female,No,Two Year,No,8,127.5,86.0
235,40,Female,No,Two Year,Yes,24,140.0,198.0
236,42,Male,Yes,Month-to-Month,Yes,26,255.1,276.0
237,40,Female,Yes,One year,Yes,9,195.0,135.0
238,72,Female,No,Month-to-Month,Yes,13,180.0,96.0
239,61,Male,Yes,Month-to-Month,Yes,17,175.0,186.0
240,71,Male,No,Month-to-Month,No,20,187.6,209.0
241,68,Female,No,Month-to-Month,Yes,12,169.9,108.0
242,88,Female,No,Month-to-Month,No,3,115.0,24.0
