Zip,Age,Gender,Churn,Contract,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Month
99927,68,Male,No,One year,Yes,7,172.5,75.0
48661,27,Female,Yes,Month-to-Month,Yes,1,242.6,67.0
97148,50,Female,No,Two Year,Yes,16,159.9,171.0
92014,48,Male,No,Two Year,Yes,17,120.0,180.0
77461,83,Male,Yes,Month-to-Month,No,2,149.9,23.0
31030,83,Female,No,One year,No,7,185.0,87.0
37847,79,Male,Yes,Month-to-Month,No,13,200.1,159.0
73109,30,Female,Yes,Month-to-Month,Yes,4,115.0,82.0
45237,86,Female,No,Two Year,Yes,3,162.5,42.0
18830,23,Female,No,Month-to-Month,No,19,175.0,227.0
783,56,Female,No,Month-to-Month,No,11,150.0,98.0
52739,83,Male,No,Month-to-Month,No,13,137.4,100.0
4228,29,Female,No,Two Year,Yes,17,185.0,162.0
60162,30,Male,Yes,Month-to-Month,Yes,10,160.0,132.0
54558,39,Male,Yes,One year,Yes,14,177.7,153.0
95351,63,Female,Yes,Month-to-Month,Yes,16,195.0,173.0
28371,60,Male,Yes,Two Year,No,2,202.7,74.0
38060,61,Female,No,Two Year,Yes,17,152.5,153.0
35172,23,Male,Yes,Month-to-Month,Yes,13,149.9,163.0
60144,38,Male,No,Month-to-Month,Yes,20,185.0,194.0
43215,30,Male,No,Two Year,No,2,127.5,50.0
50562,52,Male,No,Month-to-Month,Yes,7,125.0,59.0
4694,68,Male,No,One year,Yes,9,149.9,79.0
45176,75,Female,Yes,Month-to-Month,No,6,162.5,73.0
32086,77,Male,Yes,Month-to-Month,No,4,92.5,65.0
87325,47,Female,Yes,Month-to-Month,No,10,222.6,126.0
48133,70,Female,Yes,Month-to-Month,Yes,1,140.0,35.0
5660,20,Female,Yes,One year,No,1,200.1,105.0
20902,69,Male,Yes,Two Year,Yes,5,257.7,145.0
13492,45,Male,No,Two Year,Yes,11,230.1,150.0
43556,40,Female,No,Two Year,No,4,147.5,41.0
98572,82,Female,Yes,Month-to-Month,Yes,5,230.1,84.0
49883,74,Male,Yes,Month-to-Month,No,21,175.0,223.0
60921,69,Male,Yes,One year,No,3,267.7,90.0
49224,52,Male,Yes,Month-to-Month,Yes,5,162.5,101.0
6447,26,Female,Yes,Month-to-Month,Yes,3,230.0,75.0
7848,25,Female,No,One year,Yes,7,140.0,112.0
20017,66,Female,No,Two Year,No,10,185.0,93.0
18917,72,Male,No,Two Year,No,16,147.5,128.0
8738,21,Female,No,Month-to-Month,Yes,9,172.5,109.0
16682,55,Male,No,Month-to-Month,Yes,3,107.5,74.0
73458,41,Male,Yes,Two Year,No,4,255.1,94.0
15748,32,Male,No,Two Year,Yes,19,192.5,168.0
10035,22,Female,Yes,Two Year,Yes,9,242.6,118.0
49881,44,Female,Yes,Month-to-Month,Yes,10,245.2,143.0
61606,23,Male,Yes,Month-to-Month,Yes,22,185.0,199.0
98220,43,Female,Yes,Month-to-Month,Yes,9,195.0,101.0
37416,86,Female,No,Two Year,No,8,105.0,62.0
58341,84,Female,No,Month-to-Month,Yes,12,92.5,75.0
35072,62,Female,Yes,Month-to-Month,No,3,185.0,86.0
27292,68,Female,Yes,Month-to-Month,Yes,7,187.7,103.0
71286,59,Female,No,Month-to-Month,Yes,5,150.0,61.0
50551,31,Female,Yes,One year,Yes,2,169.9,38.0
68858,51,Male,Yes,Month-to-Month,Yes,12,160.0,108.0
24801,58,Female,No,One year,No,14,130.0,153.0
77511,73,Male,Yes,Month-to-Month,Yes,10,115.0,110.0
93117,33,Female,No,Two Year,Yes,7,142.5,80.0
53403,58,Male,Yes,Two Year,Yes,16,220.1,156.0
31011,49,Female,No,Two Year,Yes,7,125.0,56.0
