,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_FiberOptic,InternetService_None,Contract_Month-to-month,Contract_Oneyear,Contract_TwoYear
0,0,68,28561.99,0,7.978322947,10,0,1,0,1,1,1,0,1,1,0,0,0,1,1,172.455519,904.5361102,0,0,1,0,1,0,0,1,0,0,1,0
1,1,27,21704.77,1,11.69907956,12,0,1,1,0,1,1,1,1,0,0,0,1,1,1,242.632554,800.9827661,0,0,1,1,0,0,0,1,0,1,0,0
2,4,50,9609.57,0,10.75280028,9,0,1,1,1,0,1,1,0,0,0,0,0,1,1,159.947583,2054.706961,0,0,1,1,0,0,1,0,0,0,0,1
3,1,48,18925.23,0,14.91353964,15,2,0,1,0,0,1,0,1,0,0,0,1,0,1,119.95684,2164.579412,0,1,0,0,1,0,1,0,0,0,0,1
4,0,83,40074.19,1,8.147416533,16,2,1,0,1,0,0,0,0,0,0,1,1,0,0,149.948316,271.4934362,0,1,0,0,1,0,0,1,0,1,0,0
5,3,83,22660.2,0,8.420992898,15,3,1,0,1,0,1,1,1,1,1,0,0,1,0,185.007692,1039.357983,0,0,1,1,0,0,0,0,1,0,1,0
6,0,79,11467.5,1,11.18272453,10,0,1,1,0,0,1,0,0,0,0,1,1,1,0,200.118516,1907.242972,0,1,0,0,1,0,1,0,0,1,0,0
7,2,30,26759.64,1,7.791632265,16,0,0,1,0,0,0,0,0,1,0,0,0,0,1,114.950905,979.6127078,0,1,0,1,0,0,1,0,0,1,0,0
9,1,86,50231.4,0,8.707823904,18,1,0,0,1,0,1,0,1,0,1,0,0,1,1,162.482694,508.7637913,1,0,0,1,0,0,0,1,0,0,0,1
10,7,23,22580.7,0,9.341631685,9,0,2,0,0,0,1,1,1,1,0,0,1,0,0,174.958118,2728.767869,0,0,1,1,0,0,1,0,0,1,0,0
11,2,56,18342.12,0,6.68082638,17,1,1,0,1,0,1,0,0,0,1,0,1,0,0,149.962093,1180.588788,1,0,0,1,0,0,0,1,0,1,0,0
12,0,83,83671.08,0,8.273875452,9,0,0,0,1,0,1,0,0,0,0,0,1,0,0,137.439154,1196.388018,1,0,0,0,1,0,0,1,0,1,0,0
14,1,30,64256.81,1,11.79073041,10,3,0,0,0,0,0,1,0,1,0,1,0,0,1,159.965581,1582.295235,0,0,1,0,1,0,1,0,0,1,0,0
15,3,39,89061.45,1,10.79846973,13,1,0,0,0,0,1,0,1,0,0,0,1,1,1,177.65076,1840.014467,0,1,0,0,1,0,0,0,1,0,1,0
16,0,63,31659.3,1,13.52284721,13,1,0,0,1,0,1,1,0,1,1,0,0,1,1,194.966286,2070.376729,0,0,1,1,0,0,1,0,0,1,0,0
17,2,60,44142.81,1,9.831166695,16,3,0,0,0,0,1,0,1,0,1,1,1,1,0,202.682861,882.0985933,1,0,0,0,1,0,0,0,1,0,0,1
18,3,61,39262.14,0,9.57470568,11,1,0,1,1,0,1,0,0,1,1,1,1,0,1,152.490739,1833.0967,1,0,0,1,0,0,0,0,1,0,0,1
19,3,23,19494.75,1,10.92246098,10,1,0,0,1,0,1,1,0,0,0,0,1,0,1,149.944668,1954.080809,1,0,0,0,1,0,1,0,0,1,0,0
21,3,30,45714.47,0,6.984819996,18,1,0,0,0,1,1,0,1,0,1,0,0,0,0,127.495766,594.1054279,0,1,0,0,1,0,0,1,0,0,0,1
22,3,52,27442.03,0,9.372975594,16,1,1,0,0,0,1,0,0,0,0,1,0,0,1,124.964303,713.0633088,0,0,1,0,1,0,0,1,0,1,0,0
23,2,68,79699.62,0,7.109002592,9,0,0,0,1,0,1,0,0,0,0,1,1,0,1,149.948316,945.3802928,0,0,1,0,1,0,0,1,0,0,1,0
24,3,75,28520.32,1,13.74777955,15,1,0,0,0,1,1,1,1,0,1,0,0,1,0,162.511928,870.76398,1,0,0,1,0,0,0,0,1,1,0,0
25,1,77,12558.83,1,9.767668044,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,92.455141,774.2937069,0,1,0,0,1,0,1,0,0,1,0,0
26,1,47,8762.23,1,15.8626095,15,0,1,0,1,0,1,0,1,0,1,0,1,1,0,222.649979,1506.446527,1,0,0,1,0,0,0,1,0,1,0,0
27,0,70,43882.72,1,14.73616645,12,0,0,0,1,0,1,0,0,1,1,0,1,0,1,139.981577,419.0508708,0,0,1,1,0,0,0,0,1,1,0,0
