,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_FiberOptic,InternetService_None,Contract_Month-to-month,Contract_Oneyear,Contract_TwoYear
1548,0,30,51266.47,8.913392702,11,1,0,0,0,0,1,0,0,0,0,0,1,1,0,207.609354,1612.238384,0,0,1,0,1,0,0,1,0,1,0,0
7914,3,81,16134.75,9.704036,11,4,1,0,1,0,1,1,0,0,1,0,0,1,0,159.9942,5656.693914,1,0,0,0,1,0,0,0,1,0,0,1
815,0,29,21616.35,14.37269379,14,2,0,0,0,0,1,1,1,1,0,1,0,1,0,217.470195,1243.779967,0,0,1,1,0,0,0,1,0,0,1,0
1647,0,18,61967.75,12.35416052,10,0,0,0,0,0,1,1,0,1,0,1,0,1,0,214.952509,1328.734281,0,0,1,0,1,0,0,1,0,0,0,1
290,0,85,17080.57,10.32744663,10,0,1,0,0,1,1,1,1,1,1,1,0,1,1,209.993134,1297.050577,0,0,1,1,0,0,1,0,0,0,0,1
1893,1,29,10887.66,8.31466824,6,1,0,0,0,0,1,0,0,1,1,0,1,0,1,172.457857,2057.159348,1,0,0,0,1,0,0,1,0,0,0,1
2907,4,70,38731.74,12.99932,9,0,0,0,0,1,1,0,0,1,0,0,1,0,1,127.4586,1722.032536,0,1,0,0,1,0,0,0,1,0,1,0
2143,0,67,50160.82,8.386358,12,0,0,1,0,0,1,0,1,0,1,0,0,0,1,127.4958,1179.636227,0,0,1,1,0,0,0,1,0,1,0,0
3211,4,42,41877.51,12.9092,16,2,1,0,0,0,0,0,1,0,1,1,1,0,1,144.9889,1399.307542,1,0,0,0,1,0,1,0,0,1,0,0
4779,1,44,36514.93,11.7274,13,1,0,0,0,1,1,0,1,0,1,0,0,0,0,127.4958,362.550034,1,0,0,1,0,0,0,1,0,0,0,1
5302,5,21,6918.31,13.39688,10,0,1,1,1,0,1,0,0,0,0,1,0,0,0,92.48802,5000.223337,0,1,0,0,1,0,0,0,1,1,0,0
3469,2,69,25588.69,5.29024,12,3,0,0,1,0,1,0,1,0,0,0,0,1,1,149.9598,2534.437264,1,0,0,0,1,0,0,1,0,0,0,1
3867,2,55,76763.34,14.62487,12,1,0,0,0,1,1,1,1,0,0,1,0,0,0,139.9875,2143.189724,0,0,1,1,0,0,1,0,0,1,0,0
9629,1,46,32120.64,9.183806,10,1,0,0,0,0,1,0,1,0,0,1,1,0,0,119.9897,5478.106003,0,0,1,1,0,0,0,0,1,0,1,0
1948,3,55,99199.26,12.90458773,5,1,0,0,1,0,1,0,0,0,1,1,0,0,1,137.487242,590.602719,0,1,0,0,1,0,0,1,0,0,1,0
5100,4,69,24660.29,10.76463,15,0,0,0,1,1,1,1,0,0,0,0,1,1,0,240.1149,4512.775123,0,1,0,1,0,0,0,1,0,1,0,0
7036,2,24,32397.32,6.88069,8,1,0,0,1,0,1,0,0,1,0,0,1,1,0,210.1051,6096.201472,0,0,1,1,0,0,1,0,0,1,0,0
9438,2,30,13422.08,12.23027,20,1,0,0,1,1,1,0,0,1,0,0,0,1,1,149.9378,5350.055146,0,0,1,0,1,0,1,0,0,1,0,0
6213,0,57,60163.56,10.34133,9,0,0,0,1,1,1,0,1,0,1,1,1,0,0,164.9889,6243.772617,1,0,0,0,1,0,0,1,0,1,0,0
2946,3,32,12530.16,4.585813,12,0,2,0,0,1,1,0,0,1,0,0,0,1,0,169.9378,1599.005155,0,1,0,0,1,0,0,1,0,0,0,1
1874,3,55,55200.2,5.649781948,12,2,1,0,1,0,0,1,0,0,1,0,0,0,0,157.483594,637.7315432,0,0,1,1,0,0,0,1,0,1,0,0
1177,1,78,25597.36,9.140364793,11,1,0,1,1,1,1,0,1,0,1,0,1,0,0,120.003499,796.4331979,1,0,0,0,1,0,0,0,1,0,1,0
5264,1,40,8947.57,9.048196,14,2,0,1,0,0,0,0,0,1,0,1,0,1,0,149.9707,5278.976104,0,1,0,1,0,0,0,0,1,1,0,0
4341,2,52,42523.79,10.2902,11,1,0,0,0,1,1,0,0,1,1,0,1,0,1,139.9816,1419.040968,1,0,0,1,0,0,0,0,1,1,0,0
