,Churn
1548,1
7914,0
815,0
1647,0
290,1
1893,0
2907,0
2143,1
3211,1
4779,0
5302,0
3469,0
3867,0
9629,0
1948,0
5100,1
7036,0
9438,0
6213,0
2946,0
1874,1
1177,0
5264,0
4341,1
4357,0
7372,0
6298,0
2490,1
2155,0
836,0
9042,1
6388,0
6360,1
607,1
4872,0
5615,0
7977,0
1452,0
1845,1
8043,0
5854,0
9144,0
8215,0
2478,1
5347,0
3887,0
7206,0
5912,1
3678,0
9204,0
2351,1
2702,1
8884,0
616,1
8548,0
3467,0
2053,0
396,1
9238,1
6618,0
8899,0
8338,0
4580,1
4448,1
8592,0
4451,0
2214,0
7886,0
2779,0
6994,0
5781,0
4369,0
1241,0
6062,0
4900,1
865,1
3026,1
1556,0
6499,0
9216,0
3308,1
2638,0
100,1
5534,0
637,1
5133,0
5676,0
7725,0
3181,0
1266,1
9888,0
1723,1
6411,0
4880,1
6083,0
184,1
9239,0
2281,1
349,1
4346,0
7731,0
7444,1
620,1
4748,0
7809,0
5021,0
3890,0
85,0
9099,0
7971,0
559,0
9243,0
1567,1
3669,0
6520,0
9041,0
6672,0
3226,1
8522,0
3874,0
1519,0
3755,0
8995,0
9690,0
5165,0
1224,0
2090,0
4868,0
2931,1
6080,0
9703,0
5249,0
3978,0
2461,0
9210,0
5432,0
1964,0
6927,0
7032,0
3608,0
3784,1
9766,0
5397,0
9244,0
2333,0
1494,0
3997,0
94,0
4875,0
7685,0
3691,0
6145,0
1798,0
3809,1
1766,1
5580,0
1384,0
800,1
1578,1
8426,1
6642,0
3654,0
3763,1
9704,0
9808,0
1737,0
1483,0
7940,0
9515,0
6876,0
81,0
3019,0
4588,0
7116,0
4650,1
2740,1
4712,0
9911,0
6162,1
1159,1
1412,1
8628,0
9461,1
3830,0
6245,0
2467,0
8015,1
1055,1
8270,0
768,0
9547,0
6478,0
7539,0
1716,1
9015,0
9844,0
9974,0
4317,0
5218,0
8687,0
3854,0
9962,0
9463,0
3224,0
9572,0
7401,0
9728,0
7263,0
7358,0
4637,0
5660,0
344,0
8019,0
6451,0
7041,0
9206,0
1786,1
1674,0
3901,0
5991,0
8353,0
102,1
8564,0
8374,0
1304,0
8905,0
2310,1
269,1
7115,0
7362,0
9723,0
7972,0
5946,0
3210,0
9904,0
6142,1
7147,0
7834,0
5962,0
907,0
6850,0
1207,0
8168,0
8997,0
1273,1
6610,1
1143,1
2690,1
4819,1
819,1
1822,0
6174,0
6192,0
3000,1
5969,0
126,1
2502,0
8722,0
5233,0
6532,0
5763,0
4937,0
3217,1
3006,1
7790,0
2353,1
5810,0
1279,0
4690,0
2765,0
6477,0
5698,0
5831,0
1027,1
9350,0
492,0
1920,1
3420,1
9662,0
4854,0
9096,0
4476,0
1897,1
6836,1
6404,0
2453,0
3099,0
5404,0
5516,0
4086,1
9956,0
5104,0
6739,0
502,0
231,0
3688,1
9688,0
5842,0
3992,1
8387,0
6557,0
1991,1
2347,0
5819,0
5395,0
114,1
9028,0
9801,1
939,1
8147,0
3040,1
5981,0
4092,1
9927,0
2663,1
7204,0
4322,0
732,1
1318,0
3347,1
260,1
5794,0
4193,1
241,0
4170,0
4711,1
561,1
5492,0
5393,0
5494,0
141,1
2210,0
1515,1
6495,0
2415,0
9945,0
5984,0
5517,0
8990,0
8117,0
4080,0
7293,0
5888,0
5127,0
4284,0
5871,0
6361,0
1198,1
9531,0
5797,0
1194,0
9715,0
3254,0
2115,1
6907,0
8989,0
4364,1
7130,0
3788,0
99,0
7241,0
5979,0
9912,0
9680,0
4334,0
3986,1
8283,0
1896,0
1262,1
9307,0
2135,1
6646,0
568,1
838,0
4252,1
6992,0
9183,0
7299,0
7945,1
7211,0
3032,1
6852,0
5195,1
7877,0
9857,0
9047,1
3059,1
5577,0
4407,1
8260,0
3539,0
6278,0
4753,1
7177,0
5740,0
8967,0
1320,0
352,0
8304,0
9862,0
5636,0
2197,0
3395,1
8174,1
3262,0
5666,0
7371,0
3427,1
8446,0
1708,1
6692,0
2728,1
1456,1
641,1
8165,0
5895,0
1035,0
7965,0
1735,0
2114,1
4280,0
6849,0
4415,0
9755,0
6780,0
3938,1
9577,0
1736,1
5472,0
52,0
4461,1
6144,0
3903,1
4465,0
3750,1
9932,1
2584,1
8932,0
2392,0
2324,0
717,1
5177,1
1422,0
1013,1
4684,1
3003,1
7378,0
1021,1
3331,0
5653,0
7695,0
4919,1
9278,0
2744,1
1678,0
9858,0
3960,1
1111,1
1584,0
5049,0
364,0
681,1
4141,0
5758,0
1921,1
3191,1
7711,0
647,1
5307,0
8788,0
9285,0
4188,1
2853,0
6125,0
5130,0
113,0
4319,0
1185,1
682,0
3080,1
8979,0
9707,0
6438,0
16,1
5268,1
3449,0
3462,0
1846,0
7068,0
2366,1
4542,1
310,0
9035,0
9907,0
1583,1
4563,1
3304,0
4670,0
4365,1
9993,0
4130,1
6843,0
4315,1
2723,1
6549,0
1122,1
3628,0
3381,0
6971,0
3418,1
2139,0
9441,0
8787,1
4240,1
3644,0
6386,0
1728,0
6882,0
6215,0
808,1
1467,1
9117,0
3426,1
6289,0
9637,0
7732,0
4424,0
8224,0
3743,0
6264,0
1551,0
2243,1
1164,0
7330,0
2614,1
3163,0
6741,0
2287,1
2914,1
9387,1
5329,0
3646,0
7785,0
6297,0
1776,1
8306,0
9700,0
2843,1
8536,0
9184,0
240,0
6480,0
3773,1
7192,0
711,0
6944,0
5194,0
4917,1
8357,1
6760,0
5176,0
5045,0
6081,0
9212,0
4775,1
510,0
3507,1
6025,1
7449,0
8542,1
5951,0
6510,0
5390,0
8567,0
9409,0
9655,0
6417,0
1187,0
8555,0
3039,1
7175,0
2019,0
5179,0
9562,0
9081,0
6490,0
7921,0
330,1
3531,0
4258,0
7524,0
5632,0
9903,0
6246,0
3537,0
6115,0
2066,0
8310,0
8871,0
677,0
2781,0
4746,0
1978,0
8214,0
1259,0
1165,1
9573,0
2891,1
4290,0
9514,0
6504,0
7726,0
4225,0
3540,1
1564,0
2683,0
8373,0
3106,1
4944,0
9140,0
2227,0
6789,0
4830,0
1270,1
7991,0
4437,1
9492,1
6176,0
4168,1
1138,0
4072,0
3398,0
41,0
7984,0
2393,1
22,0
4042,1
6103,0
4894,0
2716,0
7599,0
2693,0
589,0
8878,0
7091,0
4457,0
9382,0
1778,1
6632,0
4260,0
9211,0
5902,0
7092,1
1671,0
382,0
7431,0
4171,0
3346,1
9235,0
6442,0
