,Status
29547,0
125651,0
128280,1
109801,0
135925,0
8782,0
98712,0
97818,0
122022,0
123626,1
88358,1
84089,1
54889,0
13211,1
55183,0
50616,0
19090,1
101712,0
122352,0
91268,0
12171,1
66379,0
115441,1
35704,1
120038,0
16989,1
106583,0
48305,0
83831,0
20776,0
67841,0
125516,0
130897,0
105265,0
107025,0
29611,0
77444,0
3025,0
68452,1
91081,0
30148,0
44352,0
4990,0
21288,0
55482,1
58955,0
132465,0
106273,0
73832,0
111037,1
80492,1
84805,0
129439,0
26923,0
81357,0
130309,0
21333,0
68565,1
63290,0
94323,0
2219,0
92765,1
67302,0
101378,0
51008,0
100009,1
84617,0
124569,0
37620,0
116160,0
73625,0
73093,0
71174,0
80965,0
60093,1
19292,0
33693,0
51000,0
103273,0
27403,0
89503,0
108476,0
56459,0
10143,0
709,0
21866,0
93646,0
92461,0
76415,0
110452,1
13342,0
60691,0
77600,0
69525,0
106291,0
18166,1
104170,0
51294,0
46863,0
13093,0
119055,0
119112,0
127955,0
10342,0
52662,0
84655,0
44218,0
76901,0
48404,0
107388,0
105042,0
98885,0
64951,0
18785,0
30713,0
119680,0
128414,0
135848,0
134445,0
3948,0
48830,0
65503,0
86977,0
61917,0
72512,0
49467,0
8905,0
125795,0
35363,1
111352,0
67045,0
129858,1
73192,1
19495,0
25750,0
46952,0
53772,0
63990,0
104736,1
129934,0
33219,1
63833,0
85529,0
85758,0
118722,0
8639,0
48661,0
1994,1
42110,0
102856,1
104271,0
78521,1
14070,0
64034,0
35124,0
105701,0
86822,0
11450,0
64536,1
29861,0
125801,0
106129,0
92106,0
6233,1
79070,0
51625,0
91745,0
47297,0
121152,0
59639,0
68608,1
91945,0
14392,0
33182,1
67640,0
54264,1
52366,0
5732,0
51404,0
20380,0
75203,0
47932,0
32667,0
11860,0
3707,1
87706,1
59497,0
93420,0
23966,0
107749,0
2329,0
115353,1
71268,1
96120,0
21904,0
37290,0
6134,0
3198,1
32536,0
81053,0
53097,1
92775,1
96397,0
85224,0
115218,0
77484,0
89914,1
78474,0
63403,0
111887,0
27232,1
52469,0
38359,0
4976,1
21495,0
64000,1
37029,0
66230,0
86167,1
51355,0
114976,0
37769,0
100637,0
61648,0
134747,0
86083,1
17097,0
53837,1
111322,1
64389,0
127354,0
108603,0
70132,0
33751,1
57678,0
68845,0
14920,1
131005,1
109386,0
37192,0
130169,0
121871,1
64970,1
116276,0
50358,0
86591,0
11712,0
124365,1
43999,0
68227,0
63779,1
53373,0
123715,0
17155,0
50475,1
36750,0
104244,0
52591,0
24629,1
122964,0
74636,0
69968,1
135910,1
17062,0
10277,0
87830,0
12831,0
30559,0
20879,0
25743,0
70924,0
84429,0
53402,0
92600,0
130182,0
91523,1
66522,0
38904,0
110896,0
17717,0
43934,0
108163,0
104688,0
89760,0
88821,0
10448,1
112045,0
80461,1
2958,0
29331,0
10325,0
51199,0
67223,0
119453,1
105273,0
123515,0
64497,1
1018,0
19838,0
47826,0
35614,0
129908,0
6816,0
88389,1
82262,0
107335,0
53894,0
96630,0
93862,0
45159,0
71400,0
47506,1
29167,0
97408,0
67629,1
98396,0
93360,0
111652,1
101973,0
90018,0
135408,0
48307,0
87504,0
87485,0
116292,1
73219,0
135537,0
46499,1
86014,0
37610,0
2378,0
69464,0
132527,0
105600,0
50834,0
93769,0
79223,0
18457,0
34922,0
39345,1
16317,0
72927,0
64083,1
10901,1
107501,0
60070,1
30088,1
590,0
103168,0
126429,0
47464,0
31620,0
51849,0
47021,0
84867,0
48333,0
15302,1
55408,0
82057,1
23615,0
83541,1
86504,0
109662,0
58540,1
112351,1
106441,0
64846,0
41891,0
89016,0
46239,1
68954,0
40087,1
